# 性能对比数据汇总 (论文格式)
# 维度: 2D | 总记录数: 3000 | 生成时间: 15-Mar-2026 18:34:44

# 主要性能指标 (均值±标准差)
算法,成功率(%),收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
RRT_Basic,100.0,0.046±0.033,2323.07±127.16,0.046±0.033,271±173,0.469±0.037
RRT_Connect_Basic,100.0,0.012±0.006,2145.80±97.67,0.012±0.006,70±10,0.497±0.064
RRT_Star_Basic,100.0,0.166±0.276,1969.06±18.73,13.387±1.675,3857±98,0.293±0.079
Informed_RRT_Star_Basic,100.0,0.215±0.124,2034.17±95.19,2.083±0.418,3855±97,0.191±0.052
SC_RRT_Basic,100.0,0.038±0.014,2004.27±61.58,0.038±0.014,209±34,0.162±0.133
Dynamic_RRT_Basic,100.0,0.056±0.058,2286.43±130.45,0.056±0.058,301±198,0.463±0.040

# 详细运行数据
算法,运行序号,成功,收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
RRT_Star_Basic,255,1,0.058,1985.08,13.454,3883,0.396
Informed_RRT_Star_Basic,256,1,0.143,2024.16,1.720,3841,0.236
SC_RRT_Basic,257,1,0.019,2000.65,0.020,175,0.261
Dynamic_RRT_Basic,258,1,0.071,2405.58,0.071,411,0.432
RRT_Basic,259,1,0.039,2369.46,0.039,179,0.495
RRT_Connect_Basic,260,1,0.007,2227.13,0.007,62,0.527
RRT_Star_Basic,261,1,0.242,1998.58,11.478,3850,0.352
Informed_RRT_Star_Basic,262,1,0.223,2056.70,1.782,3854,0.242
SC_RRT_Basic,263,1,0.046,2086.35,0.046,212,0.343
Dynamic_RRT_Basic,264,1,0.113,2405.58,0.113,558,0.487
RRT_Basic,265,1,0.102,2437.59,0.103,375,0.489
RRT_Connect_Basic,266,1,0.014,2178.38,0.014,65,0.560
RRT_Star_Basic,267,1,0.683,1948.30,9.671,3672,0.327
Informed_RRT_Star_Basic,268,1,0.235,2043.13,1.647,3879,0.195
SC_RRT_Basic,269,1,0.048,2026.62,0.048,201,0.077
Dynamic_RRT_Basic,270,1,0.038,2176.47,0.038,292,0.503
RRT_Basic,271,1,0.025,2283.17,0.025,197,0.452
RRT_Connect_Basic,272,1,0.013,2048.08,0.013,56,0.471
RRT_Star_Basic,273,1,0.032,1960.75,13.592,3917,0.326
Informed_RRT_Star_Basic,274,1,0.107,2179.92,1.598,3680,0.247
SC_RRT_Basic,275,1,0.052,2023.79,0.052,296,0.028
Dynamic_RRT_Basic,276,1,0.056,2252.84,0.057,432,0.463
RRT_Basic,277,1,0.017,2222.43,0.017,147,0.498
RRT_Connect_Basic,278,1,0.015,2051.68,0.015,64,0.442
RRT_Star_Basic,279,1,0.123,1977.34,11.335,3784,0.342
Informed_RRT_Star_Basic,280,1,0.119,1957.87,1.908,3870,0.163
SC_RRT_Basic,281,1,0.032,1987.44,0.032,178,0.016
Dynamic_RRT_Basic,282,1,0.019,2316.81,0.020,194,0.469
RRT_Basic,283,1,0.015,2197.71,0.016,164,0.437
RRT_Connect_Basic,284,1,0.012,2157.33,0.012,85,0.489
RRT_Star_Basic,285,1,0.169,1986.15,11.020,3787,0.273
Informed_RRT_Star_Basic,286,1,0.242,2214.44,1.160,3768,0.203
SC_RRT_Basic,287,1,0.035,2030.90,0.035,187,0.054
Dynamic_RRT_Basic,288,1,0.021,2367.39,0.022,193,0.449
RRT_Basic,289,1,0.073,2616.22,0.073,621,0.489
RRT_Connect_Basic,290,1,0.006,2022.33,0.006,59,0.425
